Kungl. Maj:t har funnit gott ge till känna, att Kungl. Maj:t /k/ dels /-k/  
fastställt fullmäktiges i riksgäldskontoret beslut att utfärda sexton  
obligationslån enligt följande uppställning, /k/ dels /-k/ meddelat garanti  
för dessa lån på sammanlagt nominellt nio miljarder trehundrasextiofem  
miljoner åttahundranittiofemtusenniohundra kronor. 

  
Obligationslån                                                   Lånebelopp 

Svenska statens 5 % obligationslån av den 30 augusti 1967        767 000 000 
Svenska statens 5 1/2 % obligationslån av den 30 augusti 1967    607 000 000 
Svenska statens 5 3/4 % obligationslån av den 17 november 1967   550 000 000 
Svenska statens 6 1/4 % obligationslån av den 18 mars 1968       900 000 000 
Svenska statens 6 1/2 % obligationslån av den 19 mars 1968       600 000 000 
Svenska statens 6 1/4 % obligationslån av den 2 maj 1968         700 000 000 
Svenska statens 6 1/4 % obligationslån av den 18 september 1968  400 000 000 
Svenska statens 6 % obligationslån av den 25 oktober 1968        775 000 000 
Svenska statens 6 % obligationslån av den 23 januari 1969        800 000 000 
Svenska statens 6 3/4 % obligationslån av den 5 juni 1969        900 000 000 
Svenska statens 7 1/4 % obligationslån av den 3 september 1969   800 000 000 
1967 års sparobligationslån                                      227 570 600 
1968 års sparobligationslån                                      339 325 300 
1968 års premiobligationslån 
   Första lånet                                                  300 000 000 
   Andra lånet                                                   250 000 000 
1969 års premiobligationslån                                     450 000 000
