De allmänna advokatbyråerna är de som anges i nedanstående
uppställning. De skall ha huvudkontor i de orter som anges i
uppställningen.

Allmän advokatbyrå			Huvudkontor

Södra allmänna advokatbyrån		Stockholm
Västra allmänna advokatbyrån		Stockholm
Allmänna advokatbyrån i Solna		Solna
Allmänna advokatbyrån i Uppsala		Uppsala
Allmänna advokatbyrån i Södertälje	Södertälje
Allmänna advokatbyrån i Eskilstuna	Eskilstuna
Allmänna advokatbyrån i Norrköping	Norrköping
Allmänna advokatbyrån i Jönköping	Jönköping
Allmänna advokatbyrån i Växjö		Växjö
Allmänna advokatbyrån i Kristianstad	Kristianstad
Allmänna advokatbyrån i Helsingborg	Helsingborg
Allmänna advokatbyrån i Malmö		Malmö
Allmänna advokatbyrån i Halmstad	Halmstad
Allmänna advokatbyrån i Göteborg	Göteborg
Allmänna advokatbyrån i Borås		Borås
Allmänna advokatbyrån i Skövde		Skövde
Allmänna advokatbyrån i Örebro		Örebro
Allmänna advokatbyrån i Västerås	Västerås
Allmänna advokatbyrån i Falun		Falun
Allmänna advokatbyrån i Gävle		Gävle
Allmänna advokatbyrån i Östersund	Östersund
Allmänna advokatbyrån i Umeå		Umeå
Allmänna advokatbyrån i Haparanda	Haparanda
Allmänna advokatbyrån i Kiruna		Kiruna
Allmänna advokatbyrån i Luleå		Luleå
Förordning (1998:1024).
